clip_name,tools_present,corrected_labels
clip_000000_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000001_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000002_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000003_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000004_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000005_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000006_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000007_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000008_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000009_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000010_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000011_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000012_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000013_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000014_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000015_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000016_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000017_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000018_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000019_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000020_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000021_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000022_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000023_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000024_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000025_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000026_1,"[needle driver, nan, needle driver, cadiere forceps]","['needle driver', 'nan', 'needle driver', 'cadiere forceps']"
clip_000027_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000028_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000029_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
clip_000030_1,"[force bipolar, nan, monopolar curved scissors, cadiere forceps]","['force bipolar', 'nan', 'monopolar curved scissors', 'cadiere forceps']"
